id,user_id,document_id,action_date,action_id
1,7,27,2023-07-03 07:37:09,1
2,6,6,2023-08-18 12:31:40,1
3,7,21,2023-12-19 17:21:37,2
4,1,17,2023-03-24 01:08:23,2
5,6,5,2024-04-09 14:26:13,2
6,6,10,2023-10-01 17:55:08,3
7,4,10,2023-09-12 08:26:43,1
8,10,37,2024-12-29 00:53:12,3
9,5,44,2024-09-27 01:08:47,2
10,3,16,2023-12-23 22:30:07,1
11,1,47,2024-12-28 15:21:49,1
12,8,17,2024-07-27 21:57:47,2
13,6,32,2023-11-23 22:24:07,2
14,1,7,2023-07-01 10:09:26,1
15,5,40,2023-01-04 13:56:00,2
16,6,32,2023-08-31 10:48:35,3
17,8,20,2023-04-05 01:27:35,3
18,1,2,2023-12-05 18:33:04,1
19,10,5,2024-05-18 05:12:24,1
20,8,24,2023-05-28 03:11:36,1
21,3,31,2023-07-17 01:06:54,2
22,7,32,2024-08-01 15:41:07,2
23,2,28,2024-12-07 23:56:54,3
24,3,39,2024-12-28 00:17:48,3
25,6,39,2024-05-01 00:20:16,2
26,8,47,2023-11-27 10:55:24,2
27,4,4,2023-04-14 13:50:09,2
28,4,33,2023-08-09 14:26:35,1
29,10,33,2024-04-30 16:26:28,3
30,1,39,2023-08-30 04:04:00,2
31,7,2,2024-04-21 08:55:45,1
32,10,41,2023-01-24 00:34:12,1
33,1,8,2024-06-23 01:07:14,1
34,7,21,2024-01-11 06:51:33,2
35,6,15,2023-10-15 05:12:47,1
36,6,23,2023-09-14 04:26:07,1
37,4,22,2023-02-27 14:49:25,2
38,8,25,2024-02-21 11:46:01,3
39,6,7,2024-02-13 01:38:45,2
40,8,42,2024-05-01 09:59:26,2
41,6,40,2024-09-04 05:57:59,3
42,7,20,2024-11-20 01:00:36,3
43,6,25,2023-01-06 06:22:05,2
44,3,49,2023-07-28 05:35:59,1
45,8,3,2023-08-18 10:20:04,1
46,7,45,2024-09-08 15:10:52,2
47,6,22,2023-07-16 09:44:44,2
48,7,20,2024-08-04 18:36:45,1
49,1,2,2023-07-04 02:34:51,2
50,3,45,2023-01-15 01:41:27,2
51,9,31,2023-12-12 17:26:31,1
52,8,47,2023-01-23 03:10:00,3
53,3,17,2024-06-16 12:34:33,2
54,1,33,2023-07-02 17:48:24,2
55,10,30,2024-03-03 19:42:36,2
56,9,46,2024-06-02 09:20:21,2
57,5,36,2023-07-25 17:13:19,3
58,6,2,2024-03-25 15:30:56,2
59,4,9,2024-02-22 21:28:40,3
60,7,42,2024-07-30 21:53:14,1
61,8,11,2024-02-16 01:44:40,2
62,6,22,2023-07-26 21:25:26,1
63,7,28,2023-09-04 19:33:40,1
64,3,43,2024-03-27 23:57:26,2
65,5,39,2023-12-17 07:00:54,3
66,4,33,2023-11-30 14:02:27,1
67,3,23,2024-06-17 01:14:13,3
68,7,13,2024-11-26 18:29:11,2
69,6,32,2024-04-12 13:01:43,3
70,10,19,2023-06-30 13:58:20,3
71,7,6,2024-08-30 09:28:01,2
72,9,1,2024-11-24 00:09:12,3
73,7,8,2023-07-26 15:00:59,2
74,10,13,2024-08-26 11:37:24,2
75,4,26,2024-01-20 07:51:18,2
76,8,19,2024-02-10 06:24:33,1
77,9,34,2024-06-07 05:57:35,3
78,1,40,2023-08-20 23:06:09,3
79,2,10,2023-03-17 01:30:37,2
80,5,20,2023-06-07 20:35:44,3
81,2,44,2023-01-15 10:28:56,1
82,9,44,2023-11-13 13:04:32,1
83,3,24,2024-05-22 22:52:08,3
84,3,16,2023-08-10 01:45:07,1
85,9,9,2023-05-25 23:36:10,3
86,7,25,2023-12-26 22:43:28,3
87,10,27,2023-09-11 02:44:09,2
88,5,25,2024-10-15 07:17:14,2
89,9,19,2023-05-23 09:09:26,3
90,6,33,2023-12-12 17:09:30,1
91,2,25,2024-11-07 17:25:31,2
92,8,34,2024-06-09 06:38:08,2
93,9,35,2023-05-25 06:54:21,3
94,6,30,2024-10-16 14:06:50,3
95,9,34,2024-02-26 03:34:06,1
96,9,37,2024-05-21 00:18:17,3
97,8,20,2024-08-25 21:04:44,1
98,3,25,2023-01-27 23:50:13,1
99,6,4,2023-03-30 22:39:57,1
100,1,47,2023-02-19 12:59:36,2
101,1,50,2024-07-17 08:52:22,1
102,7,5,2024-10-31 17:09:54,2
103,1,50,2023-11-09 10:40:20,3
104,7,11,2024-05-25 22:22:37,3
105,5,16,2024-10-30 10:13:26,1
106,6,33,2024-11-08 14:07:52,1
107,2,42,2023-07-24 07:00:05,2
108,1,42,2023-03-30 06:51:59,2
109,1,35,2023-07-29 00:10:27,2
110,2,29,2023-03-15 05:54:02,3
111,9,20,2024-01-01 21:52:28,2
112,7,36,2023-11-04 01:11:10,1
113,6,36,2024-12-02 16:56:48,3
114,5,23,2024-03-27 11:45:30,1
115,3,3,2024-08-13 21:34:47,2
116,5,3,2024-07-06 06:52:57,3
117,1,48,2023-12-21 12:38:21,1
118,6,5,2023-05-23 04:40:45,2
119,7,12,2023-07-05 15:31:05,1
120,6,20,2024-03-02 15:26:18,1
121,8,5,2023-04-24 17:18:30,2
122,7,33,2023-09-13 21:09:29,3
123,10,38,2024-03-17 14:34:16,1
124,10,42,2023-07-15 11:48:55,1
125,5,44,2024-11-02 00:35:22,3
126,7,34,2023-05-25 13:21:03,2
127,1,19,2024-12-25 05:36:32,2
128,9,38,2023-09-26 10:44:08,1
129,10,37,2023-05-06 04:49:31,2
130,10,5,2023-06-25 22:35:26,3
131,5,42,2023-10-17 09:00:18,3
132,9,32,2024-12-19 00:34:12,1
133,2,6,2023-01-17 04:55:57,3
134,1,47,2023-02-01 21:15:24,2
135,4,8,2023-12-23 22:57:39,3
136,3,35,2023-07-19 23:07:03,3
137,6,20,2024-04-23 22:08:12,2
138,10,42,2024-11-18 14:34:08,3
139,7,49,2024-02-29 09:14:44,2
140,3,23,2023-02-27 09:38:31,3
141,7,11,2024-06-19 10:25:41,2
142,7,49,2023-09-29 22:28:32,3
143,9,1,2023-06-02 02:27:23,2
144,10,36,2023-12-02 05:12:31,2
145,7,47,2024-03-29 18:18:43,1
146,3,11,2023-01-02 10:51:34,3
147,1,34,2024-11-23 20:13:09,3
148,1,22,2023-09-22 09:37:35,1
149,8,47,2024-02-20 17:26:05,3
150,4,27,2023-03-08 05:42:59,1
151,3,40,2024-01-07 00:09:04,1
152,4,1,2024-05-08 01:16:50,1
153,2,20,2023-09-05 16:35:46,2
154,9,48,2024-04-10 11:39:26,3
155,10,28,2024-12-05 04:28:49,2
156,8,32,2023-12-20 16:30:11,1
157,8,5,2024-01-28 15:47:28,2
158,7,10,2023-09-20 09:19:25,1
159,10,47,2023-10-26 16:57:18,1
160,10,43,2024-05-11 13:25:30,2
161,4,26,2023-09-21 13:29:44,3
162,9,49,2024-07-03 13:30:19,1
163,8,50,2024-01-11 12:20:33,2
